Topics,Replies,Views,Time
"Investigation for GS Position
CWOBMF, 4 months ago",1,412,2021
"Phone offer, but nothing on paper, yetAccepted a job offer over the phone, but nothing on paper as of yet
CuriousPro92, 6 months ago",1,389,2021
"Investigator found ""Derogatory Information"" upon initial review of my eQip -- how serious is this?
ClearanceQ, 5 months ago",9,1380,2021
"SF-86: How to list Self-Employment at a DoD Agency?
Infinity22, 5 months ago",1,304,2021
"SOR for Financial DebtHow to respond
gigito8, 5 months ago",2,500,2021
"Suitability Pre-screen vs. Public Trust Background CheckCleared pre-screen, start work, then background check
KARL51, 5 months ago",1,466,2021
"Parent employment record on children's security clearancesecurity clearance
vafed, 5 months ago",2,334,2021
"Public Trust - eQip Inconsistency
souper, 5 months ago",1,768,2021
"SF 85 to SF 85P
armyj1986, 6 months ago",1,589,2021
"Extensive drug use when youngerRescently hired by contractor for DOE and have to obtain TS Q clearence but have extensive drug use
TSQ_DOE, 6 months ago",3,517,2021
"Security Clearance After Interim DeniedSecret Clearance Eligibility After Interim Denied
ribbitrob, 6 months ago",1,553,2021
"CBP - Unsuitable (Tier 4 - BI)
llomackmd2021, 6 months ago",6,733,2021
"Processing Time for secret clearance for non-industry DOD hireI filed a FOIA request with DCSA for average processing time for non-industry secret: no response
MilkandGin, 6 months ago",0,293,2021
"""Security Clearance: Other"" on job announcements
Navy_MCPO, 2016",4,5574,2016
"I have Top Secret Clearance but SCI is now canceledClearance Issue
Brian, 7 months ago",4,716,2021
"TIMELINES that are too long to understand ..SF-86/interim/Clearance
missiongo, 7 months ago",2,757,2021
"""Favorably Adjudicated"" versus ""Final Adjudication""?Is there a difference?
DroneBee, 7 months ago",1,492,2021
"Accepting MRPT position amid secret clearance investigation.In the middle of tier 3, secret clearance investigation. Considering accepting an MRPT job.
MilkandGin, 7 months ago",0,229,2021
"No Interim Waiver?
joejoetj, 8 months ago",2,695,2021
"Undocumented ParentIs there hope for a security clearance?
url, 7 months ago",1,494,2021
"NOPA for polygraph countermeasure
angelp2, 7 months ago",0,348,2021
"Suitability Vs. Security
MavMan, 11 months ago",8,1924,2021
"Security clearance on USAjobs listed as “Other”Security clearance on USAjobs listed as “Other”
jsmith!@!, 7 months ago",1,410,2021
"Passport/visas/stamps copied for T-3 Secret Investigation
MilkandGin, 9 months ago",4,722,2021
"Visit from Canadian friend
K1234, 8 months ago",2,400,2021
"Top Secret and Interim Clearance QuestionsJob Offer Requiring Interim Clearance/TS
wiregh0st, 9 months ago",1,711,2021
"Alcohol Abuse self reported
Sams0810, 9 months ago",3,697,2021
"Already have a TOP Secret SCI but asked to still complete SF-86 through EQIP
aaaderele, 9 months ago",3,611,2021
"Privacy and failing background investigation tier 1 sf85
baronzb, 9 months ago",6,994,2021
"SF86 form questions.Questions about a secret clearance and past job history.
WVcyberspecialist21, 9 months ago",4,572,2021
"Public Trust Moderate Risk to Secret Moderate RiskI am being hired by another agency, but need a different clearance.
WVcyberspecialist21, 9 months ago",0,314,2021
"CAC Appointment
newgirl2, 9 months ago",2,369,2021
"Suspended Clearance travel
Tina, 9 months ago",1,373,2021
"Employer CheckReference
MikeCharlie00, 2015",6,1771,2015
"Will I Need To Disclose This For Clearance?I didn't realize until just now I might need to disclose this
spectacularpeaceful, 9 months ago",5,1250,2021
"eQip questions
SoZettaSlow, 10 months ago",0,476,2021
"US employment with foreign parent company
BobbyDeNiro, 10 months ago",0,216,2021
"Will PI review past eQip forms completed for a different agency?
miguel003, 10 months ago",4,594,2021
"Advice on weird clearance crossover?TS FSP
Holly, 10 months ago",1,384,2021
"Turnaround time, from what point?
newgirl2, 10 months ago",2,748,2021
"Sponsoring My In-laws to Visit the U.S.
USeagle, 10 months ago",3,414,2021
"Curious and Seeking Support
newgirl2, 11 months ago",12,1272,2021
"Torrenting music and video games – What are my odds?Torrenting music and video games – What are my odds?
ClearanceQuestion101, 11 months ago",1,1045,2021
"Haven't Heard Anything
newgirl2, 11 months ago",1,657,2021
